iso_code,continent,location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,life_expectancy
SYC,Africa,Seychelles,39427.0,163.0,398614.902,1647.963,98910.0,208.354,36.2,8.606,5.586,26382.287,242.648,10.55,73.4
SLE,Africa,Sierra Leone,7665.0,125.0,941.491,15.354,8141343.0,104.7,19.1,2.538,1.285,1390.3,325.721,2.42,54.7
SGP,Asia,Singapore,819663.0,1073.0,150297.602,196.751,5453600.0,7915.731,42.4,12.922,7.049,85535.383,92.243,10.99,83.62
SXM,North America,Sint Maarten (Dutch part),,,,,43421.0,1209.088,,,,36327.232,,,78.95
SVK,Europe,Slovakia,2190599.0,18663.0,401998.616,3424.862,5449270.0,113.128,41.2,15.07,9.167,30155.152,287.959,7.29,77.54
SVN,Europe,Slovenia,902744.0,6351.0,434278.16,3055.241,2078723.0,102.619,44.5,19.062,12.93,31400.84,153.493,7.25,81.32
SLB,Oceania,Solomon Islands,7940.0,115.0,11278.489,163.353,703995.0,21.841,20.8,3.507,2.043,2205.923,459.78,18.68,73.0
SOM,Africa,Somalia,26351.0,1348.0,1610.746,82.399,16359500.0,23.5,16.8,2.731,1.496,,365.769,6.05,57.4
ZAF,Africa,South Africa,3683172.0,99543.0,61343.264,1657.89,60041996.0,46.754,27.3,5.344,3.053,12294.876,200.38,5.52,64.13
OWID_SAM,,South America,54622339.0,1262230.0,125782.531,2906.622,434260137.0,,,,,,,,
KOR,Asia,South Korea,4456264.0,8957.0,86857.967,174.583,51305184.0,527.967,43.4,13.914,8.622,35938.374,85.998,6.8,83.03
SSD,Africa,South Sudan,16999.0,137.0,1493.58,12.037,11381377.0,,19.2,3.441,2.032,1569.888,280.775,10.43,57.85
ESP,Europe,Spain,11100428.0,100413.0,237466.636,2148.092,46745211.0,93.105,45.5,19.436,13.799,34272.36,99.403,7.17,83.56
LKA,Asia,Sri Lanka,649632.0,16321.0,30219.228,759.211,21497306.0,341.955,34.1,10.069,5.331,11669.077,197.093,10.68,76.98
SDN,Africa,Sudan,61569.0,3912.0,1370.962,87.109,44909351.0,23.258,19.7,3.548,2.034,4466.507,431.388,15.67,65.31
SUR,South America,Suriname,78487.0,1318.0,132624.646,2227.111,591798.0,3.612,29.6,6.933,4.229,13767.119,258.314,12.54,71.68
SWE,Europe,Sweden,2455966.0,17512.0,241725.154,1723.595,10160159.0,24.718,41.0,19.985,13.433,46949.283,133.982,4.79,82.8
CHE,Europe,Switzerland,2890568.0,13174.0,331658.538,1511.561,8715494.0,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,83.78
SYR,Asia,Syria,54963.0,3092.0,3007.435,169.186,18275704.0,,21.7,,2.577,,376.264,,72.7
TWN,Asia,Taiwan,20797.0,853.0,871.809,35.758,23855008.0,,42.2,,8.353,,103.957,,80.46
TJK,Asia,Tajikistan,17786.0,125.0,1824.275,12.821,9749625.0,64.281,23.3,3.466,2.155,2896.913,427.698,7.11,71.1
TZA,Africa,Tanzania,33620.0,798.0,546.681,12.976,61498438.0,64.699,17.7,3.108,1.874,2683.304,217.288,5.75,65.46
THA,Asia,Thailand,3026695.0,23235.0,43268.885,332.162,69950844.0,135.132,40.1,11.373,6.89,16277.671,109.861,7.04,77.15
TLS,Asia,Timor,22741.0,129.0,16921.961,95.991,1343875.0,87.176,18.0,3.556,1.897,6570.102,335.346,6.86,69.5
TGO,Africa,Togo,36815.0,272.0,4342.292,32.082,8478242.0,143.366,19.4,2.839,1.525,1429.813,280.033,6.15,61.04
TKL,Oceania,Tokelau,,,,,1368.0,,,,,,,,81.86
TON,Oceania,Tonga,898.0,,8411.469,,106759.0,150.028,22.3,5.82,4.032,5425.621,227.49,15.42,70.91
TTO,North America,Trinidad and Tobago,129963.0,3652.0,92607.53,2602.3,1403374.0,266.886,36.2,10.014,5.819,28763.071,228.467,10.97,73.51
TUN,Africa,Tunisia,1005167.0,27922.0,84214.718,2339.356,11935764.0,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,76.7
TUR,Asia,Turkey,14326217.0,95379.0,168459.032,1121.542,85042736.0,104.914,31.6,8.153,5.061,25129.341,171.285,12.13,77.69
TKM,Asia,Turkmenistan,,,,,6117933.0,12.253,26.9,4.277,2.541,16389.023,536.783,7.11,68.19
TCA,North America,Turks and Caicos Islands,5867.0,36.0,149569.163,917.759,39226.0,37.312,,,,,,,80.22
TUV,Oceania,Tuvalu,,,,,11925.0,373.067,,,,3575.104,,27.25,67.57
UGA,Africa,Uganda,163383.0,3590.0,3467.121,76.183,47123533.0,213.759,16.4,2.168,1.308,1697.707,213.333,2.5,63.37
UKR,Europe,Ukraine,5040518.0,112459.0,115962.423,2587.238,43466822.0,77.39,41.4,16.462,11.133,7894.393,539.849,7.11,72.06
ARE,Asia,United Arab Emirates,882477.0,2301.0,88326.461,230.305,9991083.0,112.442,34.0,1.144,0.526,67293.483,317.84,17.26,77.97
GBR,Europe,United Kingdom,19172095.0,162152.0,281086.442,2377.347,68207114.0,272.898,40.8,18.517,12.527,39753.244,122.137,4.28,81.32
USA,North America,United States,79265726.0,958437.0,238095.936,2878.923,332915074.0,35.608,38.3,15.413,9.732,54225.446,151.089,10.79,78.86
OWID_UMC,,Upper middle income,119982863.0,2449065.0,47732.093,974.297,2513672790.0,,,,,,,,
URY,South America,Uruguay,853170.0,7040.0,244801.375,2019.998,3485152.0,19.751,35.6,14.655,10.361,20551.409,160.708,6.93,77.91
UZB,Asia,Uzbekistan,236840.0,1637.0,6979.068,48.238,33935765.0,76.134,28.2,4.469,2.873,6253.104,724.417,7.57,71.72
VUT,Oceania,Vanuatu,18.0,1.0,57.24,3.18,314464.0,22.662,23.1,4.394,2.62,2921.909,546.3,12.02,70.47
VAT,Europe,Vatican,29.0,,35714.286,,812.0,,,,,,,,75.12
VEN,South America,Venezuela,516578.0,5647.0,17996.131,196.726,28704947.0,36.253,29.0,6.614,3.915,16745.022,204.85,6.47,72.06
VNM,Asia,Vietnam,4232520.0,40726.0,43114.704,414.857,98168829.0,308.127,32.6,7.15,4.718,6171.884,245.465,6.0,75.4
WLF,Oceania,Wallis and Futuna,454.0,7.0,40923.021,630.972,11094.0,,,,,,,,79.94
OWID_WRL,,World,445129499.0,5995245.0,56524.627,761.304,7874965730.0,58.045,30.9,8.696,5.355,15469.207,233.07,8.51,72.58
YEM,Asia,Yemen,11775.0,2135.0,386.184,70.021,30490639.0,53.508,20.3,2.922,1.583,1479.147,495.003,5.35,66.12
ZMB,Africa,Zambia,313744.0,3958.0,16582.088,209.189,18920657.0,22.995,17.7,2.48,1.542,3689.251,234.499,3.94,63.89
ZWE,Africa,Zimbabwe,239019.0,5397.0,15837.284,357.603,15092171.0,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,61.49
